Size,Bedrooms,Location_Score,Price
4174,3,7,327546
4507,2,5,345941
1860,5,10,304446
2294,3,8,280178
2130,2,2,188929
2095,3,2,185529
4772,1,5,348525
4092,4,1,269971
2638,2,6,244736
3169,5,4,244023
1466,1,6,194818
2238,2,7,236837
1330,1,3,160770
2482,5,8,280896
3135,2,7,271587
4444,5,1,310207
4171,3,6,322847
3919,5,7,365781
4735,3,4,329097
1130,2,2,129448
2685,3,10,284046
4380,2,9,352496
1769,2,7,218900
3391,4,1,230867
2515,2,8,262931
4485,3,3,325700
3853,4,4,296295
3433,4,5,258606
2215,2,1,200759
1955,5,6,236748
3324,5,10,345378
2184,4,6,235719
1459,2,2,165113
4385,5,10,408319
1021,2,6,186619
3300,2,8,309030
1747,4,6,196710
3904,4,4,311277
4632,1,4,330611
1474,5,9,230470
2082,5,6,227072
3558,5,8,341045
4753,3,8,381512
3047,2,7,276498
4547,4,3,352436
3747,5,10,372423
1975,1,1,170268
2806,5,5,283576
1189,2,10,224405
4005,2,10,349688
3734,4,2,270856
4005,3,10,376229
1562,4,2,177472
2899,5,7,296644
4638,1,3,299834
2267,4,8,275550
3879,3,9,347974
2528,4,8,285399
4202,2,6,317647
4556,5,5,382290
4890,5,3,353212
1646,5,3,181036
3068,5,7,308092
3888,5,5,332270
3214,5,6,305211
2297,1,6,214927
3435,3,9,343890
1600,5,1,159827
3363,3,8,312908
3061,5,10,294918
1241,4,5,175089
3041,5,6,279994
3824,2,6,317959
4417,1,1,277975
3612,4,3,256275
3945,4,6,330907
2363,2,9,264393
3139,5,6,281021
2390,1,6,235812
4003,4,1,253453
2478,1,9,278206
4499,4,4,332207
3556,5,2,268790
1775,4,1,183042
1034,4,3,143662
3253,3,3,261529
4152,5,5,330657
2955,2,1,265989
2585,2,7,266575
4943,5,1,315028
4459,2,4,349233
4073,5,6,354294
2021,2,1,171724
4461,3,7,351490
3613,2,10,320754
2129,4,7,252908
4843,5,3,337022
4893,1,4,326450
2500,1,6,251631
1702,5,7,253273
3449,3,4,270305
3777,2,10,360938
2579,3,9,287133
1161,1,9,208432
1201,5,9,212770
2981,5,10,320864
1995,3,6,208300
3317,3,2,232511
4934,2,2,334474
1815,4,4,192885
4342,4,9,363373
1455,2,3,144607
4533,4,6,333943
4798,1,2,285553
2275,4,1,195414
2016,2,5,171388
4773,4,8,395719
3343,5,10,349114
4796,3,10,403313
3767,1,2,264462
4820,5,10,411719
1337,5,9,235227
1878,2,8,237103
2076,3,3,218322
1791,3,1,187542
4993,1,4,367182
3264,2,8,291233
1763,1,3,184515
3235,4,10,339340
1379,5,2,154215
